epoch,accuracy,loss,val_accuracy,val_loss
0,0.829279899597168,0.30695340037345886,0.9728083610534668,0.24004021286964417
1,0.9770511388778687,0.03108532913029194,0.9730253219604492,0.32344475388526917
2,0.981482982635498,0.02294480986893177,0.9730253219604492,0.6339178681373596
3,0.9834520220756531,0.020186256617307663,0.9680071473121643,0.1123858168721199
4,0.9875614047050476,0.015658032149076462,0.9736812710762024,0.09148990362882614
5,0.9906392693519592,0.013099892996251583,0.9799773097038269,0.04253517836332321
6,0.9917657971382141,0.011207266710698605,0.9816235303878784,0.07122032344341278
7,0.9932650327682495,0.009153388440608978,0.9883702993392944,0.02689710631966591
8,0.9938340187072754,0.008285866118967533,0.9916083216667175,0.016105689108371735
9,0.991959273815155,0.01079704612493515,0.9909782409667969,0.015654757618904114
