epoch,accuracy,loss,val_accuracy,val_loss
0,0.8815017342567444,0.22289584577083588,0.972916841506958,0.1472170650959015
1,0.9797311425209045,0.02995820716023445,0.9730253219604492,0.3048456907272339
2,0.9827269911766052,0.022173132747411728,0.9730253219604492,0.28893962502479553
3,0.9851651787757874,0.01781252585351467,0.9729885458946228,0.08955059200525284
4,0.9875405430793762,0.01510599348694086,0.9730184674263,0.14586055278778076
5,0.9897955060005188,0.013234533369541168,0.9774304032325745,0.050550274550914764
6,0.990484356880188,0.01300774049013853,0.9838529229164124,0.032053861767053604
7,0.9928053021430969,0.009963891468942165,0.9895504117012024,0.015357905067503452
8,0.99321448802948,0.009278793819248676,0.99350905418396,0.008766707964241505
9,0.9944717288017273,0.007572455331683159,0.9948481917381287,0.0070345145650208
10,0.9947496652603149,0.007189952302724123,0.9949372410774231,0.006828926037997007
11,0.995251476764679,0.00644677272066474,0.9953262805938721,0.006424352526664734
12,0.9952204823493958,0.006420018617063761,0.9953829050064087,0.006280458066612482
13,0.9952573180198669,0.006301448680460453,0.9952897429466248,0.006306859198957682
14,0.9954115748405457,0.006145798601210117,0.9952132701873779,0.006638411432504654
15,0.9958274960517883,0.005549819208681583,0.9960882067680359,0.005209868308156729
16,0.9960643649101257,0.005233733914792538,0.995711088180542,0.0057319519110023975
17,0.996123194694519,0.005155931226909161,0.9961271286010742,0.005072546191513538
18,0.9962247610092163,0.0049236854538321495,0.9958000183105469,0.0056610251776874065
19,0.9960051774978638,0.005303556565195322,0.9946595430374146,0.007779033854603767
