epoch,accuracy,loss,val_accuracy,val_loss
0,0.893104612827301,0.1845206916332245,0.9729982018470764,0.12793177366256714
1,0.9794355630874634,0.025446129962801933,0.9729439616203308,0.13519738614559174
2,0.9839985966682434,0.018672512844204903,0.9729710817337036,0.12923873960971832
3,0.9884863495826721,0.01462689321488142,0.9729710817337036,0.12333928048610687
4,0.9909001588821411,0.012160522863268852,0.9731319546699524,0.11192636936903
5,0.9917884469032288,0.010873253457248211,0.9739431142807007,0.13363580405712128
6,0.9931101202964783,0.009199809283018112,0.9754328727722168,0.21173535287380219
7,0.9938668608665466,0.00803161971271038,0.9831457734107971,0.051167018711566925
8,0.9943720102310181,0.007330039981752634,0.9937276840209961,0.00816452968865633
9,0.995140790939331,0.0063586425967514515,0.9954737424850464,0.005817888304591179
10,0.9950685501098633,0.006417525466531515,0.9936866164207458,0.008288335055112839
11,0.9952306151390076,0.006234531756490469,0.9951943159103394,0.006179815158247948
12,0.9958519339561462,0.005394368432462215,0.9960667490959167,0.005151653662323952
13,0.9952464699745178,0.006485329940915108,0.9648194909095764,0.04260654002428055
14,0.9928483963012695,0.00984458439052105,0.9949797987937927,0.006974316202104092
